Name,Origin,MPG,Horsepower,Weight,Cylinders,Displacement,Acceleration,Year
chevrolet chevelle malibu,USA,18,130,3504,8,307,12,1970-01-01
buick skylark 320,USA,15,165,3693,8,350,11.5,1970-01-01
plymouth satellite,USA,18,150,3436,8,318,11,1970-01-01
amc rebel sst,USA,16,150,3433,8,304,12,1970-01-01
ford torino,USA,17,140,3449,8,302,10.5,1970-01-01
ford galaxie 500,USA,15,198,4341,8,429,10,1970-01-01
chevrolet impala,USA,14,220,4354,8,454,9,1970-01-01
plymouth fury iii,USA,14,215,4312,8,440,8.5,1970-01-01
pontiac catalina,USA,14,225,4425,8,455,10,1970-01-01
amc ambassador dpl,USA,15,190,3850,8,390,8.5,1970-01-01
citroen ds-21 pallas,Europe,,115,3090,4,133,17.5,1970-01-01
chevrolet chevelle concours (sw),USA,,165,4142,8,350,11.5,1970-01-01
ford torino (sw),USA,,153,4034,8,351,11,1970-01-01
plymouth satellite (sw),USA,,175,4166,8,383,10.5,1970-01-01
amc rebel sst (sw),USA,,175,3850,8,360,11,1970-01-01
dodge challenger se,USA,15,170,3563,8,383,10,1970-01-01
plymouth 'cuda 340,USA,14,160,3609,8,340,8,1970-01-01
ford mustang boss 302,USA,,140,3353,8,302,8,1970-01-01
chevrolet monte carlo,USA,15,150,3761,8,400,9.5,1970-01-01
buick estate wagon (sw),USA,14,225,3086,8,455,10,1970-01-01
toyota corona mark ii,Japan,24,95,2372,4,113,15,1970-01-01
plymouth duster,USA,22,95,2833,6,198,15.5,1970-01-01
amc hornet,USA,18,97,2774,6,199,15.5,1970-01-01
ford maverick,USA,21,85,2587,6,200,16,1970-01-01
datsun pl510,Japan,27,88,2130,4,97,14.5,1970-01-01
volkswagen 1131 deluxe sedan,Europe,26,46,1835,4,97,20.5,1970-01-01
peugeot 504,Europe,25,87,2672,4,110,17.5,1970-01-01
audi 100 ls,Europe,24,90,2430,4,107,14.5,1970-01-01
saab 99e,Europe,25,95,2375,4,104,17.5,1970-01-01
bmw 2002,Europe,26,113,2234,4,121,12.5,1970-01-01
amc gremlin,USA,21,90,2648,6,199,15,1970-01-01
ford f250,USA,10,215,4615,8,360,14,1970-01-01
chevy c20,USA,10,200,4376,8,307,15,1970-01-01
dodge d200,USA,11,210,4382,8,318,13.5,1970-01-01
hi 1200d,USA,9,193,4732,8,304,18.5,1970-01-01
datsun pl510,Japan,27,88,2130,4,97,14.5,1971-01-01
chevrolet vega 2300,USA,28,90,2264,4,140,15.5,1971-01-01
toyota corona,Japan,25,95,2228,4,113,14,1971-01-01
ford pinto,USA,25,,2046,4,98,19,1971-01-01
volkswagen super beetle 117,Europe,,48,1978,4,97,20,1971-01-01
amc gremlin,USA,19,100,2634,6,232,13,1971-01-01
plymouth satellite custom,USA,16,105,3439,6,225,15.5,1971-01-01
chevrolet chevelle malibu,USA,17,100,3329,6,250,15.5,1971-01-01
ford torino 500,USA,19,88,3302,6,250,15.5,1971-01-01
amc matador,USA,18,100,3288,6,232,15.5,1971-01-01
